Div,Date,Time,Home,Away,HG,AG,Res,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E1,1/11/2022,19:45,Coventry,Blackburn,1,0,H,1,0,H,T Robinson,15,9,7,2,5,10,3,4,2,4,0,1,2.4,3.2,3.1,2.4,3.25,2.95,2.4,3.15,2.9,2.44,3.2,3.27,2.4,3.1,3,2.3,3.13,2.9,2.52,3.32,3.27,2.4,3.19,3.09,2.2,1.66,2.21,1.73,2.23,1.76,2.16,1.69,-0.25,2.06,1.84,2.07,1.84,2.11,1.88,2.04,1.82,2.37,3.1,3.25,2.37,3.2,3.1,2.35,3.1,3,2.42,3.19,3.33,2.3,3.1,3.2,2.25,3.1,3,2.53,3.3,3.33,2.38,3.17,3.17,2.2,1.66,2.25,1.71,2.35,1.74,2.18,1.68,-0.25,2.05,1.85,2.05,1.86,2.08,1.87,2.03,1.83
E1,1/11/2022,19:45,Hull,Middlesbrough,1,3,A,0,1,A,D Whitestone,10,6,2,3,11,8,7,2,1,3,0,0,3.1,3.3,2.37,3.1,3.3,2.15,2.95,3.25,2.3,3.21,3.33,2.41,3.1,3.2,2.3,3,3.13,2.25,3.25,3.4,2.45,3.12,3.29,2.33,2.2,1.66,2.22,1.73,2.2,1.75,2.14,1.7,0.25,1.85,2.05,1.85,2.06,1.89,2.07,1.84,2,3,3.2,2.45,3.1,3.2,2.2,2.9,3.15,2.35,3.07,3.18,2.59,3,3.1,2.4,2.88,3.13,2.3,3.16,3.32,2.59,3.04,3.21,2.42,2.2,1.66,2.29,1.69,2.35,1.72,2.2,1.67,0.25,1.76,2.15,1.75,2.18,1.83,2.18,1.78,2.08
E1,1/11/2022,19:45,Luton,Reading,0,0,D,0,0,D,J Brooks,9,17,2,3,10,8,6,5,2,3,0,0,1.95,3.4,4.2,1.95,3.3,4.1,1.97,3.35,3.7,1.97,3.46,4.29,1.95,3.25,4,1.87,3.3,3.8,2.02,3.5,4.29,1.96,3.4,4.03,2.2,1.66,2.22,1.73,2.24,1.75,2.16,1.69,-0.5,1.96,1.94,1.97,1.93,1.98,1.97,1.95,1.89,2,3.25,3.8,2.05,3.3,3.8,2,3.25,3.6,2.07,3.4,4,2,3.2,3.9,1.95,3.25,3.6,2.08,3.45,4.2,2.03,3.34,3.87,2.2,1.66,2.22,1.73,2.35,1.77,2.16,1.69,-0.5,2.07,1.83,2.07,1.85,2.08,1.88,2.02,1.83
E1,1/11/2022,19:45,Preston,Swansea,1,0,H,1,0,H,J Busby,9,14,4,4,11,8,2,7,4,3,0,0,2.4,3.25,3,2.45,3.25,2.95,2.45,3.15,2.85,2.49,3.32,3.07,2.45,3.1,2.9,2.38,3.1,2.8,2.55,3.32,3.12,2.45,3.22,2.98,2.2,1.66,2.21,1.74,2.24,1.74,2.16,1.69,-0.25,2.09,1.81,2.13,1.8,2.13,1.85,2.08,1.79,2.4,3.2,3,2.45,3.1,3,2.4,3.1,2.9,2.49,3.21,3.18,2.4,3.1,3,2.3,3.1,2.9,2.55,3.3,3.25,2.44,3.16,3.06,2.3,1.61,2.36,1.65,2.42,1.66,2.3,1.61,-0.25,2.08,1.82,2.12,1.81,2.13,1.86,2.08,1.79
E1,1/11/2022,20:00,Bristol City,Sheffield United,0,1,A,0,0,D,S Martin,16,4,3,3,6,15,8,1,3,5,1,0,3.3,3.4,2.2,3.2,3.5,2.2,3.05,3.4,2.15,3.37,3.63,2.19,3.2,3.3,2.2,3,3.4,2.1,3.45,3.63,2.24,3.25,3.51,2.17,1.85,2,1.87,2.04,1.92,2.04,1.84,1.96,0.25,1.99,1.91,2.01,1.9,2.01,1.93,1.95,1.88,3.4,3.4,2.15,3.25,3.5,2.15,3.15,3.45,2.1,3.38,3.62,2.19,3.25,3.4,2.15,3.13,3.4,2.05,3.47,3.62,2.22,3.32,3.5,2.15,1.88,1.98,1.89,2.01,1.99,2.01,1.85,1.95,0.25,2.03,1.87,2.01,1.9,2.09,1.91,1.99,1.86
E1,1/11/2022,20:00,West Brom,Blackpool,1,0,H,0,0,D,G Ward,11,4,5,0,11,8,7,2,4,2,0,0,1.66,4,5,1.66,3.9,5,1.65,3.8,4.9,1.67,3.97,5.56,1.63,3.7,5.25,1.6,3.75,4.8,1.7,4,5.6,1.66,3.9,5.16,1.83,2.02,1.87,2.04,1.88,2.07,1.82,1.98,-0.75,1.84,2.06,1.85,2.06,1.87,2.08,1.83,2.02,1.65,4,5,1.65,4,5,1.63,3.85,4.9,1.66,4.1,5.4,1.63,3.8,5.25,1.57,3.9,4.8,1.7,4.2,5.5,1.65,4,5.06,1.72,2.1,1.75,2.18,1.83,2.22,1.73,2.11,-0.75,1.8,2.1,1.84,2.08,1.85,2.13,1.82,2.04
E1,2/11/2022,19:45,Birmingham,Millwall,0,0,D,0,0,D,G Scott,5,10,0,3,10,11,2,5,0,1,0,0,2.5,3.2,2.9,2.55,3.1,2.87,2.5,3.1,2.8,2.62,3.12,3.07,2.5,3.1,2.9,2.4,3.1,2.75,2.68,3.24,3.15,2.54,3.12,2.94,2.3,1.61,2.38,1.65,2.41,1.68,2.29,1.61,0,1.79,2.11,1.81,2.12,1.83,2.13,1.79,2.07,2.4,3.1,3.2,2.4,3.1,3.1,2.35,3.05,3,2.44,3.17,3.31,2.3,3.1,3.2,2.3,3,3,2.47,3.22,3.31,2.4,3.12,3.17,2.3,1.61,2.39,1.64,2.43,1.64,2.34,1.59,-0.25,2.09,1.81,2.07,1.85,2.12,1.85,2.04,1.82
E1,2/11/2022,19:45,Burnley,Rotherham,3,2,H,1,1,D,L Doughty,24,8,11,5,7,4,7,3,3,2,0,1,1.45,4.33,8,1.44,4.5,7,1.43,4.5,7,1.47,4.61,7.54,1.42,4.33,7.5,1.36,4.33,7.5,1.49,4.65,8,1.44,4.49,7.3,1.83,2.02,1.86,2.05,1.87,2.08,1.81,1.99,-1.25,2,1.9,2.03,1.88,2.03,1.94,1.98,1.86,1.4,4.5,8,1.39,4.8,8,1.37,4.8,7.75,1.39,4.96,9.06,1.36,4.6,8.5,1.33,4.5,8,1.44,5,9.06,1.38,4.8,8.19,1.8,2,1.8,2.11,1.9,2.16,1.76,2.07,-1.25,1.87,2.03,1.86,2.05,1.9,2.05,1.86,1.99
E1,2/11/2022,19:45,Cardiff,Watford,1,2,A,1,1,D,K Stroud,11,16,3,5,9,8,8,11,2,2,0,0,2.9,3.2,2.5,2.9,3.3,2.45,2.9,3.15,2.45,3.01,3.31,2.54,2.88,3.2,2.45,2.75,3.13,2.4,3.1,3.32,2.58,2.94,3.23,2.48,2.1,1.72,2.19,1.75,2.22,1.76,2.13,1.71,0,2.1,1.8,2.14,1.8,2.17,1.84,2.09,1.77,2.9,3.1,2.55,2.95,3.2,2.5,2.85,3.15,2.45,2.97,3.25,2.61,2.9,3.1,2.5,2.7,3.1,2.45,3.05,3.28,2.7,2.92,3.17,2.54,2.2,1.66,2.29,1.68,2.32,1.7,2.23,1.65,0,2.07,1.83,2.09,1.83,2.14,1.88,2.06,1.8
E1,2/11/2022,19:45,Huddersfield,Sunderland,0,2,A,0,0,D,O Langford,16,9,3,3,9,8,5,1,2,2,0,0,2.62,3.3,2.7,2.65,3.25,2.65,2.65,3.15,2.65,2.67,3.29,2.87,2.62,3.2,2.62,2.5,3.13,2.63,2.7,3.3,2.87,2.64,3.23,2.73,2.2,1.66,2.22,1.73,2.24,1.75,2.14,1.7,0,1.9,2,1.88,2.03,1.93,2.03,1.88,1.97,2.87,3.2,2.55,2.8,3.1,2.6,2.7,3.1,2.6,2.98,3.16,2.66,2.8,3.1,2.6,2.75,3,2.45,3,3.27,2.7,2.86,3.15,2.6,2.37,1.57,2.42,1.63,2.47,1.65,2.33,1.6,0,2.06,1.84,2.07,1.85,2.09,1.88,2.02,1.83
