Date,Home,Away,HG,AG,Res,prediction,Hit?,odds,AvgH,AvgD,AvgA
4/4/2021,Colon Santa FE,Argentinos Jrs,0,0,Draw,Colon Santa FE,0,-1,1.77,3.47,4.5
4/4/2021,Velez Sarsfield,Union de Santa Fe,4,1,Velez Sarsfield,Velez Sarsfield,1,0.99,1.99,3.26,3.74
5/4/2021,Racing Club,Godoy Cruz,2,4,Godoy Cruz,Racing Club,0,-1,1.68,3.64,4.84
6/4/2021,Banfield,Estudiantes L.P.,2,2,Draw,Banfield,0,-1,4.11,3.43,1.84
10/4/2021,Platense,San Lorenzo,2,4,San Lorenzo,San Lorenzo,1,0.8799999999999999,4.24,3.26,1.88
10/4/2021,Estudiantes L.P.,Aldosivi,1,0,Estudiantes L.P.,Estudiantes L.P.,1,0.9299999999999999,1.93,3.27,3.99
10/4/2021,Defensa y Justicia,Talleres Cordoba,2,2,Draw,Talleres Cordoba,0,-1,2.99,3.2,2.33
11/4/2021,Racing Club,Independiente,1,0,Racing Club,Racing Club,1,2.18,3.18,3.06,2.31
11/4/2021,Godoy Cruz,Arsenal Sarandi,2,3,Arsenal Sarandi,Godoy Cruz,0,-1,2.17,3.35,3.15
11/4/2021,Argentinos Jrs,Central Cordoba,0,0,Draw,Argentinos Jrs,0,-1,2.04,3.24,3.63
11/4/2021,Patronato,Gimnasia L.P.,4,1,Patronato,Gimnasia L.P.,0,-1,2.74,3.0,2.64
11/4/2021,Rosario Central,Banfield,3,1,Rosario Central,Banfield,0,-1,1.61,3.7,5.47
11/4/2021,Union de Santa Fe,Boca Juniors,1,0,Union de Santa Fe,Boca Juniors,0,-1,3.58,3.23,2.06
12/4/2021,River Plate,Colon Santa FE,3,2,River Plate,Colon Santa FE,0,-1,1.42,4.29,7.25
12/4/2021,Huracan,Sarmiento Junin,3,0,Huracan,Huracan,1,1.0699999999999998,2.07,3.09,3.77
12/4/2021,Lanus,Newells Old Boys,1,3,Newells Old Boys,Lanus,0,-1,1.68,3.69,4.8
13/4/2021,Atl. Tucuman,Velez Sarsfield,2,0,Atl. Tucuman,Velez Sarsfield,0,-1,3.28,3.3,2.13
16/4/2021,Talleres Cordoba,Union de Santa Fe,3,0,Talleres Cordoba,Talleres Cordoba,1,1.15,2.15,3.12,3.43
16/4/2021,Aldosivi,Rosario Central,0,1,Rosario Central,Rosario Central,1,1.44,2.9,3.08,2.44
16/4/2021,Velez Sarsfield,Huracan,2,0,Velez Sarsfield,Huracan,0,-1,1.91,3.31,3.98
17/4/2021,Central Cordoba,River Plate,0,5,River Plate,River Plate,1,0.4099999999999999,7.63,4.22,1.41
17/4/2021,Sarmiento Junin,Lanus,1,0,Sarmiento Junin,Lanus,0,-1,3.99,3.37,1.89
17/4/2021,San Lorenzo,Argentinos Jrs,1,1,Draw,Draw,1,2.06,2.46,3.06,2.92
17/4/2021,Boca Juniors,Atl. Tucuman,3,1,Boca Juniors,Atl. Tucuman,0,-1,1.52,4.05,5.86
18/4/2021,Newells Old Boys,Patronato,2,0,Newells Old Boys,Patronato,0,-1,1.87,3.33,4.07
18/4/2021,Arsenal Sarandi,Racing Club,2,1,Arsenal Sarandi,Racing Club,0,-1,3.5,3.39,2.0
18/4/2021,Estudiantes L.P.,Gimnasia L.P.,0,0,Draw,Estudiantes L.P.,0,-1,2.09,3.13,3.6
18/4/2021,Independiente,Defensa y Justicia,1,0,Independiente,Defensa y Justicia,0,-1,2.65,3.1,2.66
19/4/2021,Colon Santa FE,Godoy Cruz,2,2,Draw,Colon Santa FE,0,-1,1.6,3.7,5.37
19/4/2021,Banfield,Platense,0,1,Platense,Banfield,0,-1,1.7,3.51,4.93
24/4/2021,Godoy Cruz,Central Cordoba,1,0,Godoy Cruz,Godoy Cruz,1,1.3399999999999999,2.34,3.47,2.75
24/4/2021,Patronato,Sarmiento Junin,1,0,Patronato,Patronato,1,1.21,2.21,3.34,3.06
24/4/2021,Argentinos Jrs,Banfield,1,1,Draw,Argentinos Jrs,0,-1,2.66,2.96,2.77
24/4/2021,Huracan,Boca Juniors,0,2,Boca Juniors,Boca Juniors,1,0.8899999999999999,4.31,3.19,1.89
25/4/2021,Union de Santa Fe,Independiente,0,0,Draw,Independiente,0,-1,2.81,2.97,2.6
25/4/2021,Lanus,Velez Sarsfield,1,2,Velez Sarsfield,Velez Sarsfield,1,1.7599999999999998,2.43,3.3,2.76
25/4/2021,Defensa y Justicia,Arsenal Sarandi,0,1,Arsenal Sarandi,Defensa y Justicia,0,-1,1.36,4.57,8.51
25/4/2021,Racing Club,Colon Santa FE,2,1,Racing Club,Colon Santa FE,0,-1,3.01,3.12,2.35
25/4/2021,River Plate,San Lorenzo,1,2,San Lorenzo,River Plate,0,-1,1.5,4.09,6.12
26/4/2021,Atl. Tucuman,Talleres Cordoba,2,3,Talleres Cordoba,Talleres Cordoba,1,1.19,3.18,3.29,2.19
26/4/2021,Rosario Central,Estudiantes L.P.,0,1,Estudiantes L.P.,Draw,0,-1,3.17,3.11,2.27
26/4/2021,Platense,Aldosivi,0,2,Aldosivi,Platense,0,-1,2.31,3.11,3.1
26/4/2021,Gimnasia L.P.,Newells Old Boys,2,1,Gimnasia L.P.,Newells Old Boys,0,-1,1.97,3.26,3.78
30/4/2021,Velez Sarsfield,Patronato,1,0,Velez Sarsfield,Velez Sarsfield,1,0.77,1.77,3.44,4.53
1/5/2021,Colon Santa FE,Arsenal Sarandi,2,0,Colon Santa FE,Colon Santa FE,1,0.3700000000000001,1.37,4.79,7.44
2/5/2021,Boca Juniors,Lanus,1,0,Boca Juniors,Boca Juniors,1,0.71,1.71,3.52,4.9
2/5/2021,Defensa y Justicia,Union de Santa Fe,0,1,Union de Santa Fe,Draw,0,-1,3.43,3.29,2.08
2/5/2021,Independiente,Atl. Tucuman,0,1,Atl. Tucuman,Independiente,0,-1,1.47,4.13,6.47
2/5/2021,San Lorenzo,Godoy Cruz,1,0,San Lorenzo,San Lorenzo,1,0.8600000000000001,1.86,3.62,3.83
2/5/2021,Talleres Cordoba,Huracan,1,1,Draw,Talleres Cordoba,0,-1,1.69,3.53,5.03
2/5/2021,Banfield,River Plate,1,0,Banfield,River Plate,0,-1,5.74,3.98,1.54
2/5/2021,Aldosivi,Argentinos Jrs,1,3,Argentinos Jrs,Argentinos Jrs,1,1.79,2.6,3.01,2.79
2/5/2021,Central Cordoba,Racing Club,1,0,Central Cordoba,Racing Club,0,-1,3.32,3.27,2.14
3/5/2021,Rosario Central,Newells Old Boys,3,0,Rosario Central,Newells Old Boys,0,-1,2.17,3.09,3.42
3/5/2021,Sarmiento Junin,Gimnasia L.P.,0,0,Draw,Gimnasia L.P.,0,-1,3.46,3.18,2.12
3/5/2021,Estudiantes L.P.,Platense,2,0,Estudiantes L.P.,Estudiantes L.P.,1,0.52,1.52,3.9,6.35
8/5/2021,Godoy Cruz,Banfield,0,1,Banfield,Banfield,1,0.7,4.83,3.63,1.7
8/5/2021,Atl. Tucuman,Defensa y Justicia,5,0,Atl. Tucuman,Atl. Tucuman,1,0.16999999999999993,1.17,6.76,15.53
8/5/2021,Gimnasia L.P.,Velez Sarsfield,0,5,Velez Sarsfield,Velez Sarsfield,1,1.98,2.4,3.1,2.98
8/5/2021,Patronato,Boca Juniors,1,0,Patronato,Boca Juniors,0,-1,4.24,3.16,1.92
9/5/2021,Arsenal Sarandi,Central Cordoba,1,1,Draw,Draw,1,2.33,3.33,3.33,2.11
9/5/2021,Argentinos Jrs,Estudiantes L.P.,2,0,Argentinos Jrs,Draw,0,-1,2.58,2.98,2.83
9/5/2021,Platense,Rosario Central,4,1,Platense,Rosario Central,0,-1,3.74,3.32,1.98
9/5/2021,Racing Club,San Lorenzo,2,0,Racing Club,San Lorenzo,0,-1,2.26,3.17,3.15
9/5/2021,River Plate,Aldosivi,4,1,River Plate,River Plate,1,0.19999999999999996,1.2,6.2,12.72
9/5/2021,Colon Santa FE,Union de Santa Fe,1,1,Draw,Colon Santa FE,0,-1,2.16,3.23,3.29
9/5/2021,Huracan,Independiente,1,3,Independiente,Draw,0,-1,3.76,3.09,2.07
9/5/2021,Lanus,Talleres Cordoba,1,0,Lanus,Talleres Cordoba,0,-1,2.43,3.31,2.76
10/5/2021,Newells Old Boys,Sarmiento Junin,1,1,Draw,Newells Old Boys,0,-1,2.03,3.3,3.61
15/5/2021,Estudiantes L.P.,Independiente,0,0,Draw,Draw,1,1.9500000000000002,2.71,2.95,2.71
16/5/2021,Colon Santa FE,Talleres Cordoba,1,1,Draw,Colon Santa FE,0,-1,2.19,3.18,3.29
16/5/2021,Velez Sarsfield,Racing Club,0,0,Draw,Velez Sarsfield,0,-1,2.19,3.18,3.28
16/5/2021,Boca Juniors,River Plate,1,1,Draw,River Plate,0,-1,1.83,3.44,4.11
31/5/2021,Racing Club,Boca Juniors,0,0,Draw,Draw,1,2.44,4.9,3.44,1.72
31/5/2021,Independiente,Colon Santa FE,0,2,Colon Santa FE,Colon Santa FE,1,1.88,2.66,2.83,2.88
4/6/2021,Colon Santa FE,Racing Club,3,0,Colon Santa FE,Draw,0,-1,2.36,2.95,3.19
16/7/2021,Union de Santa Fe,Boca Juniors,1,1,Draw,Draw,1,1.9100000000000001,3.18,2.91,2.42
17/7/2021,Sarmiento Junin,Estudiantes L.P.,0,3,Estudiantes L.P.,Draw,0,-1,3.58,2.9,2.23
17/7/2021,Aldosivi,Patronato,0,2,Patronato,Patronato,1,1.94,2.57,2.92,2.94
17/7/2021,Lanus,Atl. Tucuman,4,2,Lanus,Atl. Tucuman,0,-1,2.15,3.28,3.33
17/7/2021,Newells Old Boys,Talleres Cordoba,3,2,Newells Old Boys,Talleres Cordoba,0,-1,3.26,3.0,2.33
17/7/2021,Gimnasia L.P.,Platense,2,2,Draw,Platense,0,-1,2.16,3.09,3.51
18/7/2021,Velez Sarsfield,Racing Club,0,0,Draw,Velez Sarsfield,0,-1,2.85,2.95,2.64
18/7/2021,Huracan,Defensa y Justicia,2,1,Huracan,Huracan,1,1.69,2.69,2.88,2.85
18/7/2021,Arsenal Sarandi,San Lorenzo,1,1,Draw,San Lorenzo,0,-1,3.07,3.03,2.41
18/7/2021,River Plate,Colon Santa FE,1,2,Colon Santa FE,Colon Santa FE,1,4.04,1.67,3.73,5.04
